,article_id,title,pub_date_dt,kword,american_behav_scientists,behav_analysis,behav_change,behav_econ,behav_insight,behav_insights_team,behav_science,behav_scientist,behavioural_economist,behavioural_fatigue,chater,halpern,herd_immunity,michie,nudge,psychologist,psychology,spi-b
607,b2_263.0,I went from being married and owning a home to sleeping rough for 10 years',2020-05-11,"['halpern', 'halpern']",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
608,b2_264.0,"If the BBC picks a side, it will already have lost;Auntie should aspire to help the country become less polarised, not more",2020-05-31,"['american_behav_scientists', 'american_behav_scientists']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,b2_265.0,"Google shuts down Toronto smart city project due to coronavirus;Project became 'too difficult', chief executive says",2020-05-11,['nudge'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
610,b2_27,Sometimes people need to be told what to do,2020-06-01,"['nudge', 'nudge', 'behav_insights_team', 'nudge', 'nudge', 'nudge', 'nudge']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
611,b2_28,SAGE expert criticises UK for not using the word 'isolate' in Covid-19 Test and Trace scheme and warns less Brits may comply with programme designed to prevent a second wave,2020-06-09,"['michie', 'michie', 'psychologist', 'michie', 'behav_change', 'michie', 'michie', 'michie', 'behav_science']",0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0
612,b2_3,"Government's advisors accuse PM of 'trashing' lockdown by backing Dominic Cummings;Professor Stephen Reicher, who is on the Scientific Pandemic Influenza Group on Behaviours (SPI-B), slammed Boris Johnson for 'trashing' the body's advice on building trust around coronavirus rules",2020-05-24,"['behav_science', 'spi-b', 'spi-b', 'spi-b', 'psychology', 'michie', 'spi-b', 'behav_change', 'psychology']",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4
613,b2_30,Sage sidelined as 'secretive' unit takes over virus response;Expert advice ; Scientists complain that new Joint Biosecurity Centre's work and staffing is 'shrouded in mystery',2020-07-09,"['michie', 'behav_science', 'michie', 'behav_change']",0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
614,b2_31,"South Korean-style Covid-19 hotels could help to stop Britons flouting self-isolation rules amid fears only 15% are fully complying, SAGE expert suggests",2020-06-10,"['psychology', 'behav_science', 'michie', 'behav_science', 'psychologist', 'michie']",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0
615,b2_32,TRA ASHED;TOP ADVISER FURY AS PM STANDS BY CUMMINGSlScientist blasts BoJo for 'wrecking public trust'lFears that refusal to bin aide is rules flout threat,2020-05-25,"['spi-b', 'behav_science', 'spi-b']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
616,b2_33,Government scientists talked up herd immunity despite warnings about early reinfection;Members of influential panel guiding the government's response to the virus warned that the length of immunity was 'unclear',2020-05-17,"['herd_immunity', 'herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0
617,b2_34,Herd immunity talked up despite warnings about early reinfection;Government strategy,2020-05-17,"['herd_immunity', 'herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0
618,b2_35,"From evasion to evisceration: how the Cummings lockdown story unfolded;As thousands died, the story of the PM's top adviser waxed and waned in unpredictable ways. Its impact is as yet unknownCoronavirus - latest updatesSee all our coronavirus coverage",2020-05-29,"['behav_science', 'michie', 'behav_change', 'psychology', 'behav_scientist']",0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
619,b2_36,Willing to heed Sage advice?,2020-06-06,"['behav_science', 'spi-b', 'herd_immunity', 'herd_immunity']",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1
620,b2_37,"Let's not blow it,' says Boris Johnson as English pubs reopen;PM gives Downing Street press conference as lockdown measures are eased againCoronavirus - latest updatesSee all our coronavirus coverage",2020-07-03,"['michie', 'behav_scientist']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
621,b2_38,Opening pubs in England 'disaster waiting to happen',2020-07-03,"['behav_scientist', 'michie', 'michie', 'behav_change', 'herd_immunity', 'michie']",0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0
622,b2_39,Commuters are wearing masks incorrectly;Calls for a national campaign to educate public on how to safely wear face coverings Guidance,2020-06-21,"['michie', 'behav_science', 'michie', 'michie', 'michie']",0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
623,b2_4,Economists must regain the upper hand in the Covid intellectual battle,2020-05-18,"['herd_immunity', 'herd_immunity', 'halpern', 'behavioural_economist', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'nudge']",0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0
624,b2_40,England 'risks Covid-19 surge' without test-and-trace safety net;One scientist says Cummings affair 'not a recipe for public trust' at key stage of lockdownCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-30,"['spi-b', 'behav_science']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
625,b2_41,"This man knows he's dying as surely as I do': a doctor's dispatches from the NHS frontline;As lockdown is relaxed, many in the NHS are left reeling. Palliative care doctor Rachel Clarke shares her experience working with coronavirus patients, and her fears of a second wave",2020-05-30,"['herd_immunity', 'halpern', 'behav_insights_team', 'herd_immunity']",0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
626,b2_45,Johnson 'did not listen',2020-06-24,"['behav_science', 'behav_science', 'nudge', 'behav_science', 'psychologist', 'behav_science', 'behav_science']",0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0
627,b2_46,"Johnson's father's visit to Greece 'could erode trust in guidelines';Trip by Stanley Johnson could weaken message on Covid-19 rules, warns Sage adviser",2020-07-03,"['spi-b', 'behav_science', 'psychologist']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
628,b2_47,Sunseekers risk new virus spike as beaches crammed;Top scientist warns Covid-19 cases could rise again ? Police declare serious incident in Bournemouth,2020-06-26,"['spi-b', 'behav_science']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
629,b2_48,Coronavirus: the week explained - 12 June;Lockdowns saved millions in Europe... the psychology of physical distancing... wastewater under the microscope,2020-06-12,"['herd_immunity', 'michie', 'behav_science', 'psychology', 'psychology']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0
630,b2_5,"Commuters aren't wearing face masks properly on public transport, expert warns;Professor Susan Michie says training may be needed to ensure face coverings are worn properly as those who do not wear them correctly put themselves and others at risk of contracting coronavirus",2020-06-22,"['michie', 'behav_science', 'michie', 'michie']",0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
631,b2_50,"Boris Johnson has 'trashed' Government advice by defending Dominic Cummings, advisors say;Downing Street has defended Mr Cummings' actions, insisting he ""acted in line with guidelines""",2020-05-24,"['spi-b', 'spi-b', 'psychology', 'spi-b', 'psychology', 'michie', 'spi-b', 'behav_change']",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4
